"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"PM25","County","NC","Rockingham County","percent","-0.06194180508774528","-0.09220416807006016","-0.07252448805613607","-0.13174762686152774","-0.08282399987379342","-0.07916498191898298","-0.08859042650866569","-0.07776592451937722","-0.07945570945884786","-0.09982826873009441","-0.05703707581882478","-0.060268224443428865"
"VOCS","County","NC","Rockingham County","percent","-0.1360376954417221","-0.21255729113630367","-0.1726043780917532","-0.2637769670198329","-0.14337582063284857","-0.17570956968753154","-0.22899024005440513","-0.19828299826464996","-0.1930104729541735","-0.21814740777224556","-0.13542300090388448","-0.07774768697116598"
"NH3","County","NC","Rockingham County","percent","-0.09488372551002888","-0.14339893608083037","-0.11462091380033637","-0.1856130424361793","-0.10838415549169042","-0.12223765257315092","-0.15831041118298136","-0.13746418394785723","-0.13211964055049927","-0.15145671698507662","-0.09268449928636639","-0.06782234308334947"
"SO2","County","NC","Rowan County","emissions (pounds)","-1.2741828898756467","-1.4444456102014556","-1.8498721224582368","-2.1516503638063114","-1.5416132832201583","-1.981996064372197","-2.570648910696036","-2.162212251926121","-2.3245285892362517","-1.9555669245096396","-1.4837490078843985","-1.658624672310907"
"NOX","County","NC","Rowan County","emissions (pounds)","-44.475644358608406","-44.06322351052222","-45.59108371214825","-47.68882592313457","-71.59627854094288","-95.65546919126791","-127.97544239250419","-109.78121694477159","-112.24553571680735","-61.581248142283584","-52.63342911931977","-38.84408046048338"
"CO2","County","NC","Rowan County","emissions (tons)","-166.00161634379765","-201.1572627813439","-257.37492257682607","-306.9804404634051","-212.05323550658068","-247.81529712787597","-274.73328938218765","-243.68105688062496","-273.9393518723082","-258.64158141287044","-194.61908394104103","-218.95234198326943"
"PM25","County","NC","Rowan County","emissions (pounds)","-15.392755136144842","-18.48462164425291","-23.713928838511492","-27.78634967736798","-20.175930463770783","-23.10456251526557","-24.77346091945219","-22.29390296991187","-24.73086681446148","-23.473943364548177","-17.890246348331857","-20.180175936984597"
"VOCS","County","NC","Rowan County","emissions (pounds)","-3.3945371447653088","-4.2566317634928055","-5.2429493627205375","-6.438775498590985","-4.359959828844694","-5.580732850277855","-6.850517611808755","-5.930596527285161","-6.556508573202336","-5.496162603787525","-4.102380618101961","-4.4027008402963475"
"NH3","County","NC","Rowan County","emissions (pounds)","-14.167757226434333","-16.562635568279802","-20.542642428426916","-23.112137786423773","-20.101805678626988","-24.15850043005412","-27.337586079847824","-24.688659118502983","-25.875306915982947","-21.639297114135843","-16.320654582563293","-16.927433810844377"
"SO2","County","NC","Rowan County","percent","-0.04408938010505965","-0.06002415385269079","-0.07148060326842098","-0.09187245902968942","-0.05776746264511971","-0.07249623798048452","-0.07724483427604417","-0.06606510413399588","-0.07997579008544663","-0.0734151705419666","-0.053426262571570786","-0.06210495575059128"
"NOX","County","NC","Rowan County","percent","-0.07323242396664925","-0.09439188480452226","-0.09091511316587633","-0.10791875458111162","-0.12309886389427425","-0.1506035889146356","-0.14045441318110155","-0.12446123387474714","-0.15558245960055414","-0.11452270394210229","-0.09150570070468654","-0.07366947965300377"
"CO2","County","NC","Rowan County","percent","-0.05152559084926041","-0.07495283593564861","-0.09010809232210394","-0.12101219768841115","-0.07003378389341369","-0.07851331746047384","-0.07065879938754872","-0.06375567832260036","-0.0808199921651095","-0.08801169335849315","-0.0625364382430881","-0.0742356360208968"
"PM25","County","NC","Rowan County","percent","-0.05703649418749941","-0.08294034447609291","-0.10035011373833672","-0.13363485917955809","-0.07875816849855023","-0.08573808656758965","-0.07355819914366046","-0.06741084886073262","-0.08480874292507182","-0.096157082365962","-0.06867004133734916","-0.082452094610548"
"VOCS","County","NC","Rowan County","percent","-0.04505561298415944","-0.06751106638987625","-0.07768764236091676","-0.10626195047206267","-0.062395003028101095","-0.07721441832197704","-0.07702598825866831","-0.06787998373131468","-0.08484049787501999","-0.07921894663821769","-0.0564231223770811","-0.06339763220659485"
"NH3","County","NC","Rowan County","percent","-0.06690051237879403","-0.09720344160737475","-0.11401999029169688","-0.14775825260555656","-0.09813544594713851","-0.10992913573615569","-0.09464647083951486","-0.08745588800278946","-0.10660912858251981","-0.11463131440556948","-0.08018964601863159","-0.09013979446566103"
"SO2","County","NC","Stokes County","emissions (pounds)","-1018.6990745072835","-596.0455593279912","-786.9169392250478","-823.1044897461543","-1221.5078633874655","-1048.816863670596","-1130.9447031891905","-1117.5852757800603","-1081.5248731328174","-1171.3529779065866","-867.6058417889872","-564.0345896897488"
"NOX","County","NC","Stokes County","emissions (pounds)","-1343.800694709178","-1299.0098278492223","-1199.2742272005416","-1674.6271842818242","-1223.0310586225241","-750.0585908528883","-767.2587511148304","-896.902799856849","-777.2340293689631","-1754.6853051843354","-1425.0331362655852","-1250.6323472913355"
"CO2","County","NC","Stokes County","emissions (tons)","-857.658729270217","-600.5948409575503","-672.813078916457","-802.5118348589167","-1144.7633231265936","-882.0629262924194","-862.7649493630743","-909.5755920351949","-841.736262645456","-1004.2811594614177","-766.736453647376","-557.8779358628672"
"PM25","County","NC","Stokes County","emissions (pounds)","-175.13298540914548","-124.16188430938928","-138.13387594728556","-164.69247296272079","-234.7521719142096","-181.26053268657415","-176.79323165220558","-185.85179240923026","-173.165541868133","-205.3514537622832","-158.91084384152782","-114.57758781548182"
"VOCS","County","NC","Stokes County","emissions (pounds)","-20.041006060535437","-14.207085254731282","-15.806912176352853","-18.843651526191934","-26.858636392844346","-20.740467964555137","-20.23972160189078","-21.27408302135518","-19.823546048868593","-23.496216562765767","-18.181712603680353","-13.11055066040717"
"NH3","County","NC","Stokes County","emissions (pounds)","-0.000052365773463430854","-0.000037501508932988314","-0.000041359571366538644","-0.00005010651480091485","-0.00007176795490120708","-0.00005476936398621235","-0.000049982806654892686","-0.00005342950125677981","-0.0000492437786885902","-0.00006231892973424316","-0.00004848641329551623","-0.000034561219455015585"
"SO2","County","NC","Stokes County","percent","-0.19724592801632096","-0.1779685164028297","-0.22244715966997244","-0.3112674525091664","-0.22154407063676465","-0.15979339007145094","-0.11336001457571591","-0.11541798311546414","-0.13844593117388293","-0.30047587193683745","-0.17910877946566628","-0.1424418021295389"
"NOX","County","NC","Stokes County","percent","-0.13140113615768678","-0.180564698420866","-0.15807555039599833","-0.2733960498432607","-0.1451467655935135","-0.08208937787035335","-0.06431155329738575","-0.0764215367765711","-0.07642825705152057","-0.2137944378464258","-0.1484124788598495","-0.14788196599288203"
"CO2","County","NC","Stokes County","percent","-0.15912498633880534","-0.16331859705276566","-0.17284596512299702","-0.25978154307067935","-0.20116681640876344","-0.13428004096479412","-0.09125654206353517","-0.09856852542738091","-0.10994634709781327","-0.23951731364264903","-0.1514557974039364","-0.12758957877562846"
